기준연도,구분,구분2,만족도
2015,여행형태,개별여행,67.9
2016,여행형태,개별여행,67.4
2017,여행형태,개별여행,82.8
2018,여행형태,개별여행,79.9
2019,여행형태,개별여행,77.1
2015,여행형태,단체여행,26.2
2016,여행형태,단체여행,25.0
2017,여행형태,단체여행,11.6
2018,여행형태,단체여행,12.4
2019,여행형태,단체여행,15.1
2015,여행형태,에어텔,5.9
2016,여행형태,에어텔,7.6
2017,여행형태,에어텔,5.6
2018,여행형태,에어텔,7.7
2019,여행형태,에어텔,7.8
2015,동반인원수(명),,3.4
2016,동반인원수(명),,3.0
2017,동반인원수(명),,2.8
2018,동반인원수(명),,2.9
2019,동반인원수(명),,3.5
2015,체재기간(일),,6.6
2016,체재기간(일),,6.4
2017,체재기간(일),,7.0
2018,체재기간(일),,7.2
2019,체재기간(일),,6.7
2015,전반적 만족도(%),,93.5
2016,전반적 만족도(%),,95.0
2017,전반적 만족도(%),,94.8
2018,전반적 만족도(%),,93.1
2019,전반적 만족도(%),,93.4
2015,재방문의향(%),,85.6
2016,재방문의향(%),,84.1
2017,재방문의향(%),,85.7
2018,재방문의향(%),,84.4
2019,재방문의향(%),,84.7
2015,타인추천의향(%),,90.3
2016,타인추천의향(%),,88.9
2017,타인추천의향(%),,90.0
2018,타인추천의향(%),,88.0
2019,타인추천의향(%),,88.3
