시도명,방문자수,전년도 방문자수,연도
서울특별시,6.76239448E8,6.0628272E8,2019
부산광역시,1.54956548E8,1.49628499E8,2019
대구광역시,1.07487542E8,1.0511711E8,2019
인천광역시,1.86061142E8,1.59550161E8,2019
광주광역시,6.6038784E7,6.3837307E7,2019
대전광역시,8.36281E7,8.258585E7,2019
울산광역시,4.8862667E7,4.6433222E7,2019
세종특별자치시,2.5285404E7,2.3109587E7,2019
경기도,6.64749407E8,5.91259444E8,2019
강원도,1.45612023E8,1.35219733E8,2019
충청북도,1.05848957E8,1.02455188E8,2019
충청남도,1.56262E8,1.49123906E8,2019
전라북도,9.3066716E7,8.9813652E7,2019
전라남도,1.19694029E8,1.1278755E8,2019
경상북도,1.73737828E8,1.66970809E8,2019
경상남도,1.53464716E8,1.48321065E8,2019
제주특별자치도,5.8816696E7,5.4982027E7,2019
서울특별시,4.8606368E8,6.76239448E8,2020
부산광역시,1.25355958E8,1.54956548E8,2020
대구광역시,8.6338895E7,1.07487542E8,2020
인천광역시,1.37306507E8,1.86061142E8,2020
광주광역시,5.668965E7,6.6038784E7,2020
대전광역시,6.9557253E7,8.36281E7,2020
울산광역시,4.3482816E7,4.8862667E7,2020
세종특별자치시,2.3948388E7,2.5285404E7,2020
경기도,5.50763372E8,6.64749407E8,2020
강원도,1.31296509E8,1.45612023E8,2020
충청북도,9.3486231E7,1.05848957E8,2020
충청남도,1.38698894E8,1.56262E8,2020
전라북도,8.3939339E7,9.3066716E7,2020
전라남도,1.10730837E8,1.19694029E8,2020
경상북도,1.52858211E8,1.73737828E8,2020
경상남도,1.39633588E8,1.53464716E8,2020
제주특별자치도,4.6601527E7,5.8816696E7,2020
서울특별시,4.87463395E8,4.8606368E8,2021
부산광역시,1.24393966E8,1.25355958E8,2021
대구광역시,8.7781593E7,8.6338895E7,2021
인천광역시,1.36489732E8,1.37306507E8,2021
광주광역시,5.6320473E7,5.668965E7,2021
대전광역시,6.9189201E7,6.9557253E7,2021
울산광역시,4.3034413E7,4.3482816E7,2021
세종특별자치시,2.54132E7,2.3948388E7,2021
경기도,5.5253129E8,5.50763372E8,2021
강원도,1.30321244E8,1.31296509E8,2021
충청북도,9.6267132E7,9.3486231E7,2021
충청남도,1.42810037E8,1.38698894E8,2021
전라북도,8.32992E7,8.3939339E7,2021
전라남도,1.14910137E8,1.10730837E8,2021
경상북도,1.61590338E8,1.52858211E8,2021
경상남도,1.40785495E8,1.39633588E8,2021
제주특별자치도,5.9563739E7,4.6601527E7,2021
서울특별시,3.1621754E8,2.77380733E8,2022
부산광역시,7.8820665E7,7.0890899E7,2022
대구광역시,5.6973903E7,4.993189E7,2022
인천광역시,8.6500014E7,7.7365963E7,2022
광주광역시,3.7656214E7,3.158941E7,2022
대전광역시,4.2837452E7,3.9570703E7,2022
울산광역시,2.6689314E7,2.4086358E7,2022
세종특별자치시,1.5405108E7,1.4468321E7,2022
경기도,3.43435231E8,3.15043251E8,2022
강원도,8.5529391E7,6.9991699E7,2022
충청북도,5.9831896E7,5.3519506E7,2022
충청남도,8.82563E7,7.9024932E7,2022
전라북도,5.3914125E7,4.5546453E7,2022
전라남도,7.3099742E7,6.3535983E7,2022
경상북도,9.9855388E7,8.9585015E7,2022
경상남도,8.5232081E7,7.923821E7,2022
제주특별자치도,4.0671809E7,3.3074025E7,2022

