,남성,,,여성,,,승무원,,,전체,,
,인원,전년동기,증감률,인원,전년동기,증감률,인원,전년동기,증감률,인원,전년동기,증감률
201908,"608,589","554,657",9.7,"867,890","758,376",14.4,"109,820","78,694",39.6,"1,586,299","1,391,727",14.0
201909,"574,479","514,005",11.8,"801,593","687,429",16.6,"83,592","77,170",8.3,"1,459,664","1,278,604",14.2
201910,"623,952","608,399",2.6,"937,993","830,871",12.9,"94,250","88,562",6.4,"1,656,195","1,527,832",8.4
201911,"557,064","534,835",4.2,"819,922","738,069",11.1,"79,443","77,486",2.5,"1,456,429","1,350,390",7.9
201912,"560,601","522,680",7.3,"816,840","727,499",12.3,"79,447","73,940",7.4,"1,456,888","1,324,119",10.0
202001,"501,521","437,918",14.5,"691,867","587,625",17.7,"79,320","79,260",0.1,"1,272,708","1,104,803",15.2
202002,"283,669","499,031",-43.2,"349,083","633,382",-44.9,"52,460","69,389",-24.4,"685,212","1,201,802",-43.0
202003,"37,484","576,167",-93.5,"29,228","876,370",-96.7,"16,785","83,104",-79.8,"83,497","1,535,641",-94.6
202004,"11,655","628,813",-98.1,"8,534","907,761",-99.1,"9,226","98,492",-90.6,"29,415","1,635,066",-98.2
202005,"11,874","578,778",-97.9,"6,123","809,257",-99.2,"12,809","97,649",-86.9,"30,806","1,485,684",-97.9
202006,"15,819","564,968",-97.2,"7,531","827,189",-99.1,"13,588","84,061",-83.8,"36,938","1,476,218",-97.5
202007,"21,065","557,943",-96.2,"9,324","809,558",-98.8,"30,623","80,566",-62.0,"61,012","1,448,067",-95.8
202008,"20,528","608,589",-96.6,"16,921","867,890",-98.1,"31,348","109,820",-71.5,"68,797","1,586,299",-95.7
202009,"20,033","574,479",-96.5,"12,283","801,593",-98.5,"32,724","83,592",-60.9,"65,040","1,459,664",-95.5
202010,"18,885","623,952",-97.0,"9,058","937,993",-99.0,"33,642","94,250",-64.3,"61,585","1,656,195",-96.3
202011,"18,371","557,064",-96.7,"8,954","819,922",-98.9,"34,439","79,443",-56.6,"61,764","1,456,429",-95.8
202012,"17,690","560,601",-96.8,"7,611","816,840",-99.1,"37,043","79,447",-53.4,"62,344","1,456,888",-95.7
202101,"16,511","501,521",-96.7,"7,009","691,867",-99.0,"34,877","79,320",-56.0,"58,397","1,272,708",-95.4
202102,"20,224","283,669",-92.9,"14,769","349,083",-95.8,"30,589","52,460",-41.7,"65,582","685,212",-90.4
202103,"24,918","37,484",-33.5,"13,438","29,228",-54.0,"36,248","16,785",116.0,"74,604","83,497",-10.7
202104,"23,842","11,655",104.6,"11,620","8,534",36.2,"34,650","9,226",275.6,"70,112","29,415",138.4
202105,"24,517","11,874",106.5,"14,207","6,123",132.0,"35,739","12,809",179.0,"74,463","30,806",141.7
202106,"26,270","15,819",66.1,"15,006","7,531",99.3,"35,753","13,588",163.1,"77,029","36,938",108.5
202107,"29,706","21,065",41.0,"17,598","9,324",88.7,"35,701","30,623",16.6,"83,005","61,012",36.0
202108,"33,144","20,528",61.5,"27,693","16,921",63.7,"36,250","31,348",15.6,"97,087","68,797",41.1
202109,"32,513","20,033",62.3,"22,075","12,283",79.7,"35,212","32,724",7.6,"89,800","65,040",38.1
202110,"35,211","18,885",86.4,"18,030","9,058",99.1,"39,175","33,642",16.4,"92,416","61,585",50.1
202111,"36,184","18,371",97.0,"17,924","8,954",100.2,"40,250","34,439",16.9,"94,358","61,764",52.8
202112,"32,854","17,690",85.7,"17,325","7,611",127.6,"39,971","37,043",7.9,"90,150","62,344",44.6
202201,"28,834","16,511",74.6,"13,328","7,009",90.2,"39,689","34,877",13.8,"81,851","58,397",40.2
202202,"36,184","20,224",78.9,"28,987","14,769",96.3,"34,828","30,589",13.9,"99,999","65,582",52.5
202203,"37,477","24,918",50.4,"20,258","13,438",50.8,"39,033","36,248",7.7,"96,768","74,604",29.7
202204,"56,183","23,842",135.6,"34,785","11,620",199.4,"36,951","34,650",6.6,"127,919","70,112",82.4
202205,"82,169","24,517",235.2,"52,188","14,207",267.3,"41,565","35,739",16.3,"175,922","74,463",136.3
202206,"105,712","26,270",302.4,"80,549","15,006",436.8,"41,452","35,753",15.9,"227,713","77,029",195.6
전체,"4,585,732","10,617,755",-56.8,"5,827,544","14,670,190",-60.3,"1,498,492","2,026,788",-26.1,"11,911,768","27,314,733",-56.4
