기준연월,지역명,방문자 수
201908,제주특별자치도 서귀포시 ,9577446
201909,제주특별자치도 서귀포시 ,7704418
201910,제주특별자치도 서귀포시 ,9006579
201911,제주특별자치도 서귀포시 ,8163441
201912,제주특별자치도 서귀포시 ,8222113
202001,제주특별자치도 서귀포시 ,7999171
202002,제주특별자치도 서귀포시 ,5247790
202003,제주특별자치도 서귀포시 ,5036933
202004,제주특별자치도 서귀포시 ,4709300
202005,제주특별자치도 서귀포시 ,6123526
202006,제주특별자치도 서귀포시 ,6199792
202007,제주특별자치도 서귀포시 ,7452271
202008,제주특별자치도 서귀포시 ,8791472
202009,제주특별자치도 서귀포시 ,6957095
202010,제주특별자치도 서귀포시 ,7581540
202011,제주특별자치도 서귀포시 ,6318789
202012,제주특별자치도 서귀포시 ,6446314
202101,제주특별자치도 서귀포시 ,7031880
202102,제주특별자치도 서귀포시 ,7960066
202103,제주특별자치도 서귀포시 ,8772435
202104,제주특별자치도 서귀포시 ,8602373
202105,제주특별자치도 서귀포시 ,7520868
202106,제주특별자치도 서귀포시 ,6853041
202107,제주특별자치도 서귀포시 ,8913746
202108,제주특별자치도 서귀포시 ,8713500
202110,제주특별자치도 서귀포시 ,9976402
202109,제주특별자치도 서귀포시 ,7810671
202111,제주특별자치도 서귀포시 ,9568434
202112,제주특별자치도 서귀포시 ,8925061
202201,제주특별자치도 서귀포시 ,9990282
202202,제주특별자치도 서귀포시 ,8557655
202203,제주특별자치도 서귀포시 ,8189387
202204,제주특별자치도 서귀포시 ,9470865
202205,제주특별자치도 서귀포시 ,9338782
202206,제주특별자치도 서귀포시 ,9517926
202207,제주특별자치도 서귀포시 ,12200314
