,항목,기준,경우,전체,남,여,10대,20대,30대,40대,50대,60대,70대이상
0,제주여행선택이유,전체,해외여행 대체지로 적절해서,51.9,48.7,54.0,25.0,55.1,53.7,53.0,41.2,44.7,57.1
1,제주여행선택이유,전체,청정한 자연환경,47.1,44.0,49.2,50.0,47.0,41.6,50.4,54.9,51.1,42.9
2,제주여행선택이유,전체,"**적당한 이동 거리 (물리적, 시간적 거리)",40.9,39.9,41.5,50.0,35.0,45.7,42.7,37.3,40.4,42.9
3,제주여행선택이유,전체,"관광 편의성(숙박, 교통 등)",19.9,24.6,16.8,25.0,18.7,15.6,22.6,29.4,19.1,28.6
4,제주여행선택이유,전체,관광활동의 다양성,17.7,18.6,17.1,25.0,17.7,18.4,15.0,19.6,19.1,28.6
5,제주여행선택이유,전체,전염병 안전지역 (코로나 19 등),9.8,9.8,9.8,0,9.5,12.7,7.7,6.9,12.8,0
6,제주여행선택이유,전체,여행비용,9.7,10.8,9.0,25.0,13.4,9.2,6.0,6.9,12.8,0
7,제주여행선택이유,전체,기타,3,3.5,2.7,0,3.5,3.2,2.6,3.9,0,0
8,제주여행활동,전체,자연경관감상,77.7,76.4,78.6,41.7,74.6,77.8,78.2,82.4,91.5,85.7
9,제주여행활동,전체,식도락(맛집여행),72.8,69.3,75.1,75.0,77.7,75.2,68.8,66.7,61.7,57.1
10,제주여행활동,전체,산/오름/올레길 트레킹,52.6,51.5,53.3,25.0,52.3,47.9,52.1,59.8,80.9,42.9
11,제주여행활동,전체,"호캉스(호텔, 펜션, 리조트 등)",45.6,36.9,51.3,58.3,59.0,51.7,32.5,32.4,17.0,28.6
12,제주여행활동,전체,박물관/테마공원 방문,29.7,34.4,26.6,41.7,27.2,29.2,35.9,19.6,34.0,42.9
13,제주여행활동,전체,역사/문화유적지방문,18.9,21.9,16.9,16.7,16.3,12.7,26.9,20.6,29.8,42.9
14,제주여행활동,전체,"레포츠 활동(골프, 승마, ATV 등)",12.7,16.1,10.5,8.3,16.6,13.7,10.7,7.8,4.3,14.3
15,제주여행활동,전체,지인/친지 방문,8.1,10.1,6.8,8.3,6.4,9.2,7.3,7.8,10.6,42.9
16,제주여행활동,전체,공연/축제/이벤트 참여,6.9,8.0,6.1,25.0,7.1,5.7,6.8,5.9,8.5,28.6
17,제주여행활동,전체,영화/드라마 촬영지 방문,4.6,5.0,4.3,8.3,3.5,3.5,8.1,3.9,0,14.3
18,제주여행활동,전체,유흥/오락/경마,4,4.5,3.7,25.0,6.4,3.2,3.4,1.0,0,0
19,제주여행활동,전체,기타,1.4,1.8,1.2,0,1.4,1.9,1.3,0,2.1,0
