기준년월,광역지자체,방문자 구분,방문자 수,전년도 방문자 수
202101,부산광역시,현지인방문자(a),3.7408774E7,4.0188092E7
202101,부산광역시,외지인방문자(b),8749570.0,1.351274E7
202101,부산광역시,외국인방문자(c),43585.0,147340.0
202101,부산광역시,외부방문자(b+c),8793154.0,1.3660081E7
202101,부산광역시,전체방문자(a+b+c),4.6201928E7,5.3848173E7
202102,부산광역시,현지인방문자(a),3.5559986E7,3.7560758E7
202102,부산광역시,외지인방문자(b),1.0115679E7,9479306.0
202102,부산광역시,외국인방문자(c),38678.0,96265.0
202102,부산광역시,외부방문자(b+c),1.0154357E7,9575570.0
202102,부산광역시,전체방문자(a+b+c),4.5714343E7,4.7136328E7
202103,부산광역시,현지인방문자(a),4.1547457E7,3.7321949E7
202103,부산광역시,외지인방문자(b),1.1716691E7,8356096.0
202103,부산광역시,외국인방문자(c),43664.0,29156.0
202103,부산광역시,외부방문자(b+c),1.1760355E7,8385252.0
202103,부산광역시,전체방문자(a+b+c),5.3307812E7,4.5707201E7
202104,부산광역시,현지인방문자(a),3.8944185E7,3.7891872E7
202104,부산광역시,외지인방문자(b),9099500.0,9035890.0
202104,부산광역시,외국인방문자(c),51151.0,33601.0
202104,부산광역시,외부방문자(b+c),9150650.0,9069492.0
202104,부산광역시,전체방문자(a+b+c),4.8094835E7,4.6961363E7
202105,부산광역시,현지인방문자(a),4.2668028E7,4.0179615E7
202105,부산광역시,외지인방문자(b),1.0615448E7,1.1105784E7
202105,부산광역시,외국인방문자(c),52280.0,35791.0
202105,부산광역시,외부방문자(b+c),1.0667727E7,1.1141575E7
202105,부산광역시,전체방문자(a+b+c),5.3335755E7,5.132119E7
202106,부산광역시,현지인방문자(a),4.2204144E7,4.0852665E7
202106,부산광역시,외지인방문자(b),9893394.0,1.0103576E7
202106,부산광역시,외국인방문자(c),55394.0,36160.0
202106,부산광역시,외부방문자(b+c),9948788.0,1.0139736E7
202106,부산광역시,전체방문자(a+b+c),5.2152933E7,5.0992401E7
202107,부산광역시,현지인방문자(a),4.2190264E7,4.2045325E7
202107,부산광역시,외지인방문자(b),1.0355972E7,1.0989724E7
202107,부산광역시,외국인방문자(c),59897.0,46597.0
202107,부산광역시,외부방문자(b+c),1.0415868E7,1.103632E7
202107,부산광역시,전체방문자(a+b+c),5.2606132E7,5.3081645E7
202108,부산광역시,현지인방문자(a),4.0714107E7,4.0737742E7
202108,부산광역시,외지인방문자(b),9714856.0,1.1664622E7
202108,부산광역시,외국인방문자(c),59969.0,40085.0
202108,부산광역시,외부방문자(b+c),9774824.0,1.1704707E7
202108,부산광역시,전체방문자(a+b+c),5.0488931E7,5.2442449E7
202109,부산광역시,현지인방문자(a),4.090199E7,4.0887662E7
202109,부산광역시,외지인방문자(b),1.1099624E7,9856056.0
202109,부산광역시,외국인방문자(c),60584.0,39339.0
202109,부산광역시,외부방문자(b+c),1.1160208E7,9895395.0
202109,부산광역시,전체방문자(a+b+c),5.2062198E7,5.0783057E7
202110,부산광역시,현지인방문자(a),4.2628128E7,4.0334553E7
202110,부산광역시,외지인방문자(b),1.095228E7,1.1229418E7
202110,부산광역시,외국인방문자(c),80687.0,42321.0
202110,부산광역시,외부방문자(b+c),1.1032968E7,1.1271738E7
202110,부산광역시,전체방문자(a+b+c),5.3661095E7,5.1606291E7
202111,부산광역시,현지인방문자(a),4.160633E7,4.152737E7
202111,부산광역시,외지인방문자(b),1.0487578E7,1.0412234E7
202111,부산광역시,외국인방문자(c),112440.0,38287.0
202111,부산광역시,외부방문자(b+c),1.0600018E7,1.0450521E7
202111,부산광역시,전체방문자(a+b+c),5.2206349E7,5.1977891E7
202112,부산광역시,현지인방문자(a),4.234231E7,3.8998407E7
202112,부산광역시,외지인방문자(b),1.0860272E7,8980440.0
202112,부산광역시,외국인방문자(c),74776.0,45131.0
202112,부산광역시,외부방문자(b+c),1.0935049E7,9025571.0
202112,부산광역시,전체방문자(a+b+c),5.3277359E7,4.8023978E7
